date,actual,day-ahead,installed_capacity_mw,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m,capacity_factor,zone,hour_sin,hour_cos,day_sin,day_cos
2025-10-27 00:00:00,0.0,0.0,1257.9,0,0.0,0.0,0.0,24.0,23.2,70,14.1,0.0,14.5,30.2,264,1002.8,54,0.0,IT-SICI,0.0,1.0,-0.9011686968561569,0.4334685453485363
2025-10-27 01:00:00,0.0,0.0,1257.9,1,0.0,0.0,0.0,24.1,23.2,3,13.9,0.0,15.0,33.5,260,1002.9,53,0.0,IT-SICI,0.25881904510252074,0.9659258262890683,-0.9011686968561569,0.4334685453485363
2025-10-27 02:00:00,0.0,0.0,1257.9,2,0.0,0.0,0.0,22.9,23.1,9,16.2,0.0,13.5,31.7,245,1003.1,66,0.0,IT-SICI,0.49999999999999994,0.8660254037844387,-0.9011686968561569,0.4334685453485363
2025-10-27 03:00:00,0.0,0.0,1257.9,3,0.0,0.0,0.0,22.4,21.6,63,14.7,0.0,15.8,31.0,253,1003.3,62,0.0,IT-SICI,0.7071067811865475,0.7071067811865476,-0.9011686968561569,0.4334685453485363
2025-10-27 04:00:00,0.0,0.0,1257.9,4,0.0,0.0,0.0,22.7,21.2,36,13.4,0.0,17.8,38.2,249,1003.2,56,0.0,IT-SICI,0.8660254037844386,0.5000000000000001,-0.9011686968561569,0.4334685453485363
2025-10-27 05:00:00,0.0,0.0,1257.9,5,0.0,0.0,0.0,22.4,20.7,70,13.5,0.0,19.3,38.2,246,1003.6,57,0.0,IT-SICI,0.9659258262890683,0.25881904510252074,-0.9011686968561569,0.4334685453485363
2025-10-27 06:00:00,1.0,0.0,1257.9,6,0.0,0.0,0.0,21.9,19.9,26,13.5,0.0,20.9,45.0,251,1004.2,59,0.0007949757532395,IT-SICI,1.0,6.123233995736766e-17,-0.9011686968561569,0.4334685453485363
2025-10-27 07:00:00,93.25,78.25,1257.9,7,19.0,5.0,14.0,21.9,19.2,57,12.4,0.0,23.2,46.1,254,1004.2,55,0.0741314889895858,IT-SICI,0.9659258262890683,-0.25881904510252063,-0.9011686968561569,0.4334685453485363
2025-10-27 08:00:00,334.5,348.25,1257.9,8,138.0,69.0,69.0,22.7,18.5,46,9.5,0.0,27.8,59.4,253,1004.7,43,0.2659193894586215,IT-SICI,0.8660254037844387,-0.49999999999999983,-0.9011686968561569,0.4334685453485363
2025-10-27 09:00:00,470.25,582.75,1257.9,9,305.0,185.0,120.0,23.9,19.0,0,5.2,0.0,25.2,56.9,268,1005.3,30,0.3738373479608872,IT-SICI,0.7071067811865476,-0.7071067811865475,-0.9011686968561569,0.4334685453485363
2025-10-27 10:00:00,558.5,703.0,1257.9,10,485.0,371.0,114.0,24.7,21.0,7,8.6,0.0,22.6,46.4,284,1005.6,36,0.4439939581842753,IT-SICI,0.49999999999999994,-0.8660254037844387,-0.9011686968561569,0.4334685453485363
2025-10-27 11:00:00,521.5,768.75,1257.9,11,589.0,461.0,128.0,25.3,22.6,10,7.9,0.0,16.2,38.9,291,1006.3,33,0.4145798553144129,IT-SICI,0.258819045102521,-0.9659258262890682,-0.9011686968561569,0.4334685453485363
2025-10-27 12:00:00,483.5,794.0,1257.9,12,645.0,533.0,112.0,23.7,23.0,36,9.7,0.0,8.1,22.7,249,1006.4,41,0.3843707766913108,IT-SICI,1.2246467991473532e-16,-1.0,-0.9011686968561569,0.4334685453485363
2025-10-27 13:00:00,495.5,730.75,1257.9,13,633.0,538.0,95.0,24.3,22.6,0,9.1,0.0,13.6,21.6,259,1006.2,38,0.3939104857301852,IT-SICI,-0.2588190451025208,-0.9659258262890683,-0.9011686968561569,0.4334685453485363
2025-10-27 14:00:00,424.75,630.0,1257.9,14,557.0,471.0,86.0,25.1,20.9,0,5.8,0.0,22.0,36.4,273,1006.1,29,0.3376659511884887,IT-SICI,-0.4999999999999998,-0.8660254037844388,-0.9011686968561569,0.4334685453485363
2025-10-27 15:00:00,294.25,412.0,1257.9,15,418.0,334.0,84.0,24.4,20.2,0,8.3,0.0,25.8,47.9,277,1006.4,36,0.2339216153907305,IT-SICI,-0.7071067811865471,-0.7071067811865479,-0.9011686968561569,0.4334685453485363
2025-10-27 16:00:00,130.25,134.0,1257.9,16,240.0,165.0,75.0,23.3,19.6,0,8.6,0.0,23.1,49.7,274,1006.9,39,0.1035455918594482,IT-SICI,-0.8660254037844384,-0.5000000000000004,-0.9011686968561569,0.4334685453485363
2025-10-27 17:00:00,7.75,5.75,1257.9,17,69.0,34.0,35.0,21.8,18.7,0,9.0,0.0,19.4,46.1,269,1007.1,44,0.0061610620876063,IT-SICI,-0.9659258262890683,-0.25881904510252063,-0.9011686968561569,0.4334685453485363
2025-10-27 18:00:00,0.0,0.0,1257.9,18,0.0,0.0,0.0,20.3,18.1,0,9.6,0.0,14.8,39.2,276,1008.0,50,0.0,IT-SICI,-1.0,-1.8369701987210297e-16,-0.9011686968561569,0.4334685453485363
2025-10-27 19:00:00,0.0,0.0,1257.9,19,0.0,0.0,0.0,19.4,18.1,0,10.4,0.0,9.7,30.2,285,1008.4,56,0.0,IT-SICI,-0.9659258262890684,0.2588190451025203,-0.9011686968561569,0.4334685453485363
2025-10-27 20:00:00,0.0,0.0,1257.9,20,0.0,0.0,0.0,18.8,18.1,21,10.9,0.0,6.8,19.1,295,1009.0,60,0.0,IT-SICI,-0.8660254037844386,0.5000000000000001,-0.9011686968561569,0.4334685453485363
2025-10-27 21:00:00,0.0,0.0,1257.9,21,0.0,0.0,0.0,18.1,17.4,22,11.4,0.0,7.3,14.4,290,1009.1,65,0.0,IT-SICI,-0.7071067811865477,0.7071067811865474,-0.9011686968561569,0.4334685453485363
2025-10-27 22:00:00,0.0,0.0,1257.9,22,0.0,0.0,0.0,17.5,16.9,0,11.8,0.0,8.3,18.0,288,1009.5,69,0.0,IT-SICI,-0.5000000000000004,0.8660254037844384,-0.9011686968561569,0.4334685453485363
2025-10-27 23:00:00,0.0,0.0,1257.9,23,0.0,0.0,0.0,17.1,16.0,0,10.9,0.0,9.4,19.4,272,1009.5,67,0.0,IT-SICI,-0.25881904510252157,0.9659258262890681,-0.9011686968561569,0.4334685453485363
2025-10-28 00:00:00,0.0,0.0,1257.9,0,0.0,0.0,0.0,16.8,15.2,0,9.3,0.0,9.7,21.2,274,1009.3,61,0.0,IT-SICI,0.0,1.0,-0.8935790198239952,0.4489059314938798
2025-10-28 01:00:00,0.0,0.0,1257.9,1,0.0,0.0,0.0,16.8,15.5,0,9.0,0.0,7.0,19.1,305,1009.3,60,0.0,IT-SICI,0.25881904510252074,0.9659258262890683,-0.8935790198239952,0.4489059314938798
2025-10-28 02:00:00,0.0,0.0,1257.9,2,0.0,0.0,0.0,16.3,15.4,0,9.7,0.0,5.9,13.3,322,1009.3,65,0.0,IT-SICI,0.49999999999999994,0.8660254037844387,-0.8935790198239952,0.4489059314938798
2025-10-28 03:00:00,0.0,0.0,1257.9,3,0.0,0.0,0.0,15.8,14.9,0,9.9,0.0,6.1,12.6,315,1009.3,68,0.0,IT-SICI,0.7071067811865475,0.7071067811865476,-0.8935790198239952,0.4489059314938798
2025-10-28 04:00:00,0.0,0.0,1257.9,4,0.0,0.0,0.0,15.6,14.7,0,9.9,0.0,6.0,13.7,303,1009.2,69,0.0,IT-SICI,0.8660254037844386,0.5000000000000001,-0.8935790198239952,0.4489059314938798
2025-10-28 05:00:00,0.0,0.0,1257.9,5,0.0,0.0,0.0,15.4,14.6,0,10.4,0.0,6.3,14.8,294,1009.1,72,0.0,IT-SICI,0.9659258262890683,0.25881904510252074,-0.8935790198239952,0.4489059314938798
